EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
52.1	347.573787196474	10.32920086	11.96809317	10.46883266	10.92204223	0.0648779825416531	
52.116	347.680527706938	11.61901307	10.3307295	10.9177956	10.9558460566667	0.0650787805270607	
52.132	347.787268217401	12.62242693	10.60693599	10.4265355	11.2186328066667	0.0666397591260858	
52.148	347.894008727865	11.55837021	11.09972475	12.7299539	11.7960162866667	0.0700694725941758	
52.164	348.000749238328	11.45441046	11.60066732	9.53829255	10.8644567766667	0.0645359194038865	
52.18	348.107489748791	11.92936307	10.94990058	10.96416973	11.28114446	0.0670110843662016	
52.196	348.214230259255	10.83880671	11.53900512	11.97166044	11.44982409	0.0680130576107486	
52.212	348.320970769718	12.06186062	12.11129242	11.71125185	11.9614682966667	0.0710522734651317	
52.228	348.427711280182	11.70462693	11.83151878	11.71940544	11.7518503833333	0.0698071228755924	
52.244	348.534451790645	12.13167673	11.91356531	11.36471978	11.8033206066667	0.0701128609583168	
52.26	348.641192301109	10.8622485	12.29016398	12.21015591	11.7875227966667	0.0700190204457283	
52.276	348.747932811572	11.97267962	11.66181998	11.63684946	11.7571163533333	0.0698384032444584	
52.292	348.854673322035	10.80364376	12.6535129	12.04912045	11.8354257033333	0.0703035683239518	
52.308	348.961413832499	11.67863702	11.18482895	12.4547668	11.7727442566667	0.0699312344950864	
52.324	349.068154342962	11.06150431	10.91626675	11.11348408	11.03041838	0.0655217473083117	
52.34	349.174894853426	11.73112646	12.47871826	12.21881927	12.1428879966667	0.072129923952234	
52.356	349.281635363889	10.66605023	11.96605482	12.00121765	11.5444409	0.0685750905729052	
52.372	349.388375874352	11.28929824	10.68133842	11.79635593	11.2556641966667	0.066859729148479	
52.388	349.495116384816	10.6334353	11.91254622	10.84645074	11.1308107533333	0.0661180876728037	
52.404	349.601856895279	10.61305127	12.4404978	13.32823126	12.12726011	0.0720370928006077	
52.42	349.708597405743	11.5578605	12.0791873	12.92870027	12.18858269	0.0724013548306263	
52.436	349.815337916206	11.11399368	11.52320724	12.66931086	11.76883726	0.0699080265586774	
52.452	349.922078426669	11.95993964	11.51454384	11.55123551	11.6752396633333	0.0693520478218619	
52.468	350.028818937133	10.22880847	10.74554873	10.62986838	10.53474186	0.0625773810502747	
52.484	350.135559447596	11.37491185	11.83100919	10.61865699	11.2748593433333	0.0669737501680008	
52.5	350.24229995806	10.12026243	10.27161531	9.03225382	9.80804385333334	0.0582607249161248	
52.516	350.349040468523	10.95805425	10.70274194	9.35585357	10.3388832533333	0.0614139620672341	
52.532	350.455780978986	10.58349417	10.72669326	10.50705319	10.6057468733333	0.0629991576666255	
52.548	350.56252148945	9.27737433	9.18717411	10.84797954	9.77084266	0.058039746245581	
52.564	350.669261999913	10.74300065	11.15680069	10.16918446	10.6896619333333	0.0634976212032988	
52.58	350.776002510377	9.20857746	11.67099296	10.80466305	10.5614111566667	0.0627357992404906	
52.596	350.88274302084	12.19741563	11.12520504	11.36522952	11.56261673	0.0686830567532759	
52.612	350.989483531304	10.5636194	10.78580768	10.76287536	10.7041008133333	0.0635833895408345	
52.628	351.096224041767	10.46322705	10.06879224	9.42210236	9.98470721666667	0.0593101223054342	
52.644	351.20296455223	11.07271571	11.39529618	11.2327318	11.23358123	0.0667285542000859	
52.66	351.309705062694	9.98063048	11.61595553	12.6285423	11.4083761033333	0.0677668525788764	
52.676	351.416445573157	10.67471353	11.43453575	11.22304938	11.11076622	0.0659990212146935	
52.692	351.523186083621	11.47428517	12.45425717	10.42347792	11.45067342	0.0680181027127315	
52.708	351.629926594084	10.5269278	11.55684118	11.28725982	11.1236762666667	0.0660757081350161	
52.724	351.736667104547	11.44778558	11.2419049	12.88181642	11.8571689666667	0.0704327254018345	
52.74	351.843407615011	10.32002793	12.06389905	11.88400828	11.4226450866667	0.0678516117138525	
52.756	351.950148125474	12.44865155	11.60984025	12.70702168	12.25517116	0.0727968967543033	
52.772	352.056888635938	13.16311891	12.7635879	12.67950286	12.8687365566667	0.0764415342913898	
52.788	352.163629146401	11.6220706	10.79549005	12.5332459	11.65026885	0.0692037187861949	
52.804	352.270369656864	9.77423999	13.75120397	12.5750337	12.0334925533333	0.0714801044850265	
52.82	352.377110167328	11.30152867	11.04570661	11.56856221	11.30526583	0.0671543676266748	
52.836	352.483850677791	13.29357796	11.82183627	11.51250557	12.2093066	0.0725244568515544	
52.852	352.590591188255	11.31987462	11.61187871	10.84390272	11.2585520166667	0.0668768830773504	
52.868	352.697331698718	11.20776134	10.11771448	10.34041214	10.5552959866667	0.0626994745418541	
52.884	352.804072209181	11.50842862	9.31100821	11.17922332	10.66622005	0.0633583741590541	
52.9	352.910812719645	11.53339946	10.92798768	12.02771707	11.49636807	0.0682895333337196	
52.916	353.017553230108	11.52422658	11.54155308	11.8840084	11.6499293533333	0.0692017021433044	
52.932	353.124293740572	11.57518717	9.82163335	11.06660048	10.8211403333333	0.0642786155594985	
52.948	353.231034251035	11.3045863	11.15629094	10.36945961	10.9434456166667	0.0650051207194087	
