EO pos[mm]	Time[ps]	AVG[arb.u.]	Norm[arb.u.]	
51.732	345.118755455816	11.59710002	0.0319304170709215	
51.748	345.225495966279	11.70717495	0.0322334875297337	
51.764	345.332236476743	11.85699909	0.032645999905176	
51.78	345.438976987206	13.1080813	0.0360906176705154	
51.796	345.54571749767	13.9086723	0.0382948932643398	
51.812	345.652458008133	14.3183954	0.0394229881711724	
51.828	345.759198518596	15.7768872	0.0434386689351743	
51.844	345.86593902906	16.5642283	0.0456064634404145	
51.86	345.972679539523	17.4906917	0.0481573048328253	
51.876	346.079420049987	19.692189	0.0542187104297659	
51.892	346.18616056045	22.5047035	0.0619624360894687	
51.908	346.292901070914	25.6051455	0.0704989155535996	
51.924	346.399641581377	25.6372505	0.0705873105866936	
51.94	346.50638209184	28.4207176	0.0782510597354388	
51.956	346.613122602304	30.9483627	0.0852104514895052	
51.972	346.719863112767	29.8042974	0.0820604845044512	
51.988	346.826603623231	29.9225262	0.0823860050990209	
52.004	346.933344133694	25.3345448	0.0697538678092685	
52.02	347.040084644157	16.3262423	0.0449512140915312	
52.036	347.146825154621	-2.888955512	-0.00795419149946225	
52.052	347.253565665084	-30.1707043	-0.0830693164636899	
52.068	347.360306175548	-71.4329794	-0.196677171096826	
52.084	347.467046686011	-118.367676	-0.325902963316488	
52.1	347.573787196474	-172.864926	-0.475950813099392	
52.116	347.680527706938	-221.39571	-0.609571129491111	
52.132	347.787268217401	-250.240419	-0.688989569193363	
52.148	347.894008727865	-257.279096	-0.708369232372081	
52.164	348.000749238328	-234.665333	-0.646106521617865	
52.18	348.107489748791	-177.303083	-0.488170437297842	
52.196	348.214230259255	-88.8411149	-0.244607173078659	
52.212	348.320970769718	21.3662441	0.0588279038876579	
52.228	348.427711280182	144.515554	0.397896189952432	
52.244	348.534451790645	250.099767	0.688602310567145	
52.26	348.641192301109	328.325284	0.903981446652104	
52.276	348.747932811572	363.19914	1	
52.292	348.854673322035	355.32369	0.97831644094752	
52.308	348.961413832499	301.723349	0.830738060117653	
52.324	349.068154342962	220.980381	0.608427599801035	
52.34	349.174894853426	120.556434	0.331929293665178	
52.356	349.281635363889	29.392536	0.0809267775248587	
52.372	349.388375874352	-25.9501487	-0.0714488164812285	
52.388	349.495116384816	-46.947438	-0.129260873249865	
52.404	349.601856895279	-46.7823258	-0.128806268098542	
52.42	349.708597405743	-48.2902495	-0.132958050231066	
52.436	349.815337916206	-55.6622076	-0.153255339756586	
52.452	349.922078426669	-58.1276805	-0.16004355214057	
52.468	350.028818937133	-45.9266973	-0.126450457178946	
52.484	350.135559447596	-27.6578377	-0.0761506145086137	
52.5	350.24229995806	-24.9263504	-0.068629981888173	
52.516	350.349040468523	-35.345242	-0.0973164253637825	
52.532	350.455780978986	-35.0032966	-0.0963749435089521	
52.548	350.56252148945	-19.8552628	-0.0546677032329977	
52.564	350.669261999913	-8.32135365	-0.0229112702469505	
52.58	350.776002510377	-12.32736538	-0.0339410643428286	
52.596	350.88274302084	-20.8393118	-0.0573770956616252	
52.612	350.989483531304	-13.34810558	-0.0367514790370924	
52.628	351.096224041767	-1.006471541	-0.00277112864584426	
52.644	351.20296455223	-2.2106701303	-0.00608666124677498	
52.66	351.309705062694	-10.24409654	-0.0282051784043321	
52.676	351.416445573157	-7.0371471	-0.0193754508890082	
52.692	351.523186083621	1.696477846	0.00467093023953746	
52.708	351.629926594084	4.13952825	0.0113974065302027	
52.724	351.736667104547	-0.09070984	-0.000249752353488502	
52.74	351.843407615011	0.62630558	0.00172441371970209	
52.756	351.950148125474	6.17438438	0.0169999972466895	
52.772	352.056888635938	5.465013017	0.0150468776357785	
52.788	352.163629146401	4.53141513	0.0124763927855116	
52.804	352.270369656864	4.75105524	0.0130811302031167	
52.82	352.377110167328	6.30739149	0.0173662071171204	
52.836	352.483850677791	7.4081401	0.0203969098054582	
52.852	352.590591188255	5.68669156	0.0156572274923338	
52.868	352.697331698718	7.82092082	0.0215334232894935	
52.884	352.804072209181	8.75553794	0.0241067144046652	
52.9	352.910812719645	8.48187961	0.0233532480555984	
52.916	353.017553230108	9.09544501	0.0250425841041364	
52.932	353.124293740572	9.41191026	0.0259139111948338	
52.948	353.231034251035	10.26549997	0.0282641086925481	
52.964	353.337774761498	8.89415066	0.0244883582598791	
52.98	353.444515271962	11.16342553	0.0307363765508916	
52.996	353.551255782425	9.01543695	0.024822297073721	
53.012	353.657996292889	8.57309915	0.0236044037714407	
53.028	353.764736803352	7.86576611	0.0216568962966157	
53.044	353.871477313816	7.92539001	0.0218210594055922	
53.06	353.978217824279	8.87682405	0.0244406527229112	
53.076	354.084958334742	7.80818069	0.0214983457559949	
53.092	354.191698845206	7.73632631	0.0213005083382081	
53.108	354.298439355669	7.42444743	0.0204418089481159	
53.124	354.405179866133	6.945418	0.0191228921962756	
53.14	354.511920376596	8.36568948	0.0230333405525134	
53.156	354.618660887059	8.06349317	0.0222013002839159	
53.172	354.725401397523	9.68964553	0.0266786026255459	
53.188	354.832141907986	7.72052847	0.021257011979709	
53.204	354.93888241845	9.0669071	0.0249640103773374	
53.22	355.045622928913	8.07419495	0.022230765606989	
53.236	355.152363439376	7.36431398	0.0202762428897822	
53.252	355.25910394984	9.88278606	0.0272103784717111	
53.268	355.365844460303	7.22111474	0.0198819709209664	
53.284	355.472584970767	6.65137539	0.0183133015953727	
53.3	355.57932548123	6.1351447	0.0168919582243504	
53.316	355.686065991694	7.60943441	0.0209511355395831	
53.332	355.792806502157	8.80191214	0.0242343969757197	
53.348	355.89954701262	7.64561642	0.021050755847054	
53.364	356.006287523084	7.78932525	0.0214464308753595	
53.38	356.113028033547	7.77199873	0.0213987255861894	
