EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
51.726	345.078727764392	-59.4297235	-57.8489262	-59.5999318	-58.9595271666667	-0.106978742503218	
51.742	345.185468274856	-62.7258539	-62.0276942	-61.888062	-62.2138700333333	-0.112883564408696	
51.758	345.292208785319	-57.3199553	-56.2533503	-57.4228956	-56.9987337333333	-0.103420993215073	
51.774	345.398949295782	-45.3447276	-45.7320281	-44.388707	-45.1551542333333	-0.0819314850298176	
51.79	345.505689806246	-38.5353743	-39.0133848	-39.3650127	-38.9712572666667	-0.0707111521497148	
51.806	345.612430316709	-45.9802061	-45.1587214	-47.4636687	-46.2008654	-0.0838288690660794	
51.822	345.719170827173	-56.1417465	-57.1798136	-57.4585679	-56.9267093333333	-0.103290308996393	
51.838	345.825911337636	-56.2778113	-58.0191346	-56.355781	-56.8842423	-0.10321325495539	
51.854	345.9326518481	-46.3292862	-47.6002431	-49.1203972	-47.6833088333333	-0.0865186792112974	
51.87	346.039392358563	-40.185478	-40.7878321	-41.2739963	-40.7491021333333	-0.0739369515640176	
51.886	346.146132869026	-38.5109132	-38.4696352	-38.6459589	-38.5421691	-0.0699325958298303	
51.902	346.25287337949	-25.2122394	-25.869631	-24.4493594	-25.1770766	-0.0456823879703355	
51.918	346.359613889953	-1.808591127	-2.263159537	-0.773581673	-1.615110779	-0.00293052757449008	
51.934	346.466354400417	12.1306575	10.66706958	11.8778929	11.5585399933333	0.0209723200487102	
51.95	346.57309491088	3.063750311	3.95708934	4.50746366	3.84276777033333	0.0069724857636676	
51.966	346.679835421343	-9.78035526	-9.2121448	-9.27890314	-9.42380106666667	-0.0170989564563953	
51.982	346.786575931807	-8.33664196	-8.21841338	-7.93863978	-8.16456504	-0.0148141435835453	
51.998	346.89331644227	5.83192921	6.17642278	7.11664556	6.37499918333333	0.011567077092803	
52.014	347.000056952734	16.1978214	16.4021736	15.9465858	16.1821936	0.0293616791969518	
52.03	347.106797463197	13.9051049	13.8959321	13.62329308	13.8081100266667	0.0250540382188481	
52.046	347.21353797366	6.30382423	6.33491021	6.68755743	6.44209729	0.0116888228295904	
52.062	347.320278484124	2.577076738	2.109768185	2.700910943	2.46258528866667	0.00446822235775028	
52.078	347.427018994587	-0.384752404	-0.677266155	-1.100748613	-0.720922390666667	-0.00130807308847511	
52.094	347.533759505051	-7.69555778	-6.20190307	-7.53452235	-7.1439944	-0.0129623756174577	
52.11	347.640500015514	-16.97548	-19.1978713	-19.0556912	-18.4096808333333	-0.033403329369796	
52.126	347.747240525977	-27.6236941	-29.4022186	-29.8909306	-28.9722811	-0.0525685728578917	
52.142	347.853981036441	-27.5085233	-27.552859	-29.5861861	-28.2158561333333	-0.0511960823441314	
52.158	347.960721546904	-15.5924099	-17.4840669	-17.6058628	-16.8941132	-0.0306534172286375	
52.174	348.067462057368	-1.6103544426	-2.868061659	-3.61769185	-2.69870265053333	-0.00489664401697203	
52.19	348.174202567831	6.94337952	6.93012983	6.90515914	6.92622283	0.0125672413646728	
52.206	348.280943078295	13.9535175	15.0563046	14.7821366	14.5973195666667	0.0264860144950839	
52.222	348.387683588758	22.2662081	23.0805582	23.2706412	22.8724691666667	0.0415008075366146	
52.238	348.494424099221	26.3456027	28.0971179	27.7745375	27.4057527	0.0497261952748108	
52.254	348.601164609685	28.6296561	29.0704651	28.1964912	28.6322041333333	0.0519515223488965	
52.27	348.707905120148	30.9972848	31.0426397	30.2466354	30.7621866333333	0.0558162556728212	
52.286	348.814645630612	33.2161086	34.2312434	35.8905201	34.4459573666667	0.0625002502647072	
52.302	348.921386141075	28.1093486	30.056043	29.0561962	29.0738626	0.0527528867703976	
52.318	349.028126651538	11.53543759	11.45899687	11.07781183	11.35741543	0.0206073908522618	
52.334	349.134867162002	-7.20124012	-8.70508696	-8.85898793	-8.25510500333333	-0.0149784232494305	
52.35	349.241607672465	-15.7269458	-17.2527059	-17.7990032	-16.9262183	-0.0307116701250054	
52.366	349.348348182929	-18.4385585	-18.2372642	-18.9884232	-18.5547486333333	-0.0336665467252853	
52.382	349.455088693392	-16.5188733	-18.0380083	-17.9100971	-17.4889929	-0.0317327929513565	
52.398	349.561829203855	-17.4249524	-18.6469873	-18.698967	-18.2569689	-0.0331262421647536	
52.414	349.668569714319	-12.5413996	-14.4177684	-13.890836	-13.616668	-0.024706677440035	
52.43	349.775310224782	-2.682055553	-1.72705419	-2.407887598	-2.272332447	-0.00412301928816612	
52.446	349.882050735246	10.72006839	11.7295977	11.79482719	11.4148310933333	0.0207115683407621	
52.462	349.988791245709	20.8805897	20.8576575	21.2011317	20.9797929666667	0.038066653133215	
52.478	350.095531756172	25.2040857	25.5149451	25.3697076	25.3629128	0.0460195772922814	
52.494	350.202272266636	29.6417334	28.1195406	30.342951	29.368075	0.0532867186054441	
52.51	350.309012777099	30.6502434	31.1608683	32.3319425	31.3810180666667	0.0569390904671425	
52.526	350.415753287563	28.7229139	28.2994313	29.4327948	28.81838	0.0522893279768851	
52.542	350.522493798026	20.2430728	20.37608	19.6840352	20.1010626666667	0.0364722464781592	
52.558	350.629234308489	12.34367251	12.77938577	12.10925407	12.4107707833333	0.022518644834847	
52.574	350.735974818953	8.75706677	8.94358247	7.38011176	8.36025366666667	0.0151692095789662	
52.59	350.842715329416	4.72506534	4.40197526	4.63945156	4.58883072	0.00832617498098386	
52.606	350.94945583988	1.06099935016	0.98710651	1.571624403	1.20657675438667	0.00218926558812154	
52.622	351.056196350343	-2.009375819	-3.63450886	-2.880801815	-2.84156216466667	-0.00515585456208721	
52.638	351.162936860807	-4.9217732	-6.50613776	-6.6671732	-6.03169472	-0.0109441704728207	
52.654	351.26967737127	-9.18564531	-10.2119914	-9.54899424	-9.64887698333333	-0.0175073440349573	
52.67	351.376417881733	-10.63700268	-11.0034092	-10.18090546	-10.60710578	-0.0192459962362885	
52.686	351.483158392197	-4.49829077	-5.07108771	-4.49268508	-4.68735452	-0.00850494086899453	
52.702	351.58989890266	3.105537996	2.063394047	2.718237537	2.62905652666667	0.00477027504643369	
52.718	351.696639413124	5.16332638	4.8626589	5.65407679	5.22668735666667	0.00948352993559603	
