EO pos[mm]	Time[ps]	AVG[arb.u.]	Norm[arb.u.]	
51.78	345.438976987206	-57.6593529	-0.0945176503464107	
51.796	345.54571749767	-68.1393969	-0.111696981791995	
51.812	345.652458008133	-49.1387432	-0.0805503064922476	
51.828	345.759198518596	-23.4332054	-0.0384127015496357	
51.844	345.86593902906	-24.1945563	-0.0396607401511429	
51.86	345.972679539523	-41.3963016	-0.0678585687052232	
51.876	346.079420049987	-37.363281	-0.0612474707351891	
51.892	346.18616056045	-15.922125	-0.0261002208285595	
51.908	346.292901070914	-9.83131601	-0.0161159090822584	
51.924	346.399641581377	-21.739785	-0.0356367751958615	
51.94	346.50638209184	-24.4259177	-0.0400399975449396	
51.956	346.613122602304	-9.46389005	-0.0155136089059851	
51.972	346.719863112767	-2.104672124	-0.00345006757628856	
51.988	346.826603623231	-9.11175245	-0.0149363700561432	
52.004	346.933344133694	-8.71527916	-0.0142864542677904	
52.02	347.040084644157	-0.547826284	-0.000898020018564681	
52.036	347.146825154621	2.770726956	0.00454189283197077	
52.052	347.253565665084	-0.909646429	-0.00149113090575602	
52.068	347.360306175548	0.532028495	0.000872123614566912	
52.084	347.467046686011	3.99836743	0.0065542930278917	
52.1	347.573787196474	5.00636778	0.00820664984146183	
52.116	347.680527706938	2.354888583	0.00386023298039387	
52.132	347.787268217401	6.58308826	0.0107912767497993	
52.148	347.894008727865	7.89634247	0.0129440186033543	
52.164	348.000749238328	8.6459727	0.0141728441867965	
52.18	348.107489748791	7.21907628	0.0118338152153821	
52.196	348.214230259255	9.80991241	0.0160808233957356	
52.212	348.320970769718	11.54053384	0.0189177312515424	
52.228	348.427711280182	9.83029659	0.0161142380058714	
52.244	348.534451790645	11.5430819	0.0189219081392809	
52.26	348.641192301109	11.07220598	0.018150028412495	
52.276	348.747932811572	9.63562716	0.0157951276414214	
52.292	348.854673322035	7.92437085	0.0129899639094907	
52.308	348.961413832499	8.5634165	0.0140375145715117	
52.324	349.068154342962	7.99316765	0.0131027385342533	
52.34	349.174894853426	6.37771708	0.0104546236240499	
52.356	349.281635363889	6.89700544	0.011305863070399	
52.372	349.388375874352	7.6344051	0.0125146397861266	
52.388	349.495116384816	5.44870565	0.00893174878948759	
52.404	349.601856895279	9.1540496	0.0150057053336528	
52.42	349.708597405743	9.08270489	0.014888754067038	
52.436	349.815337916206	8.42276528	0.0138069531419408	
52.452	349.922078426669	5.85995754	0.00960589028411613	
52.468	350.028818937133	5.306525612	0.00869868125677993	
52.484	350.135559447596	5.35595738	0.0087797119019197	
52.5	350.24229995806	3.445954704	0.00564875471958759	
52.516	350.349040468523	4.57677002	0.00750243502067286	
52.532	350.455780978986	3.56927932	0.00585091364694165	
52.548	350.56252148945	3.830707099	0.00627945712104576	
52.564	350.669261999913	4.230238071	0.00693438519107718	
52.58	350.776002510377	3.22835298	0.00529205276874401	
52.596	350.88274302084	5.83702529	0.0095682987698493	
52.612	350.989483531304	4.59052941	0.00752498999480265	
52.628	351.096224041767	4.48860823	0.00735791648513561	
52.644	351.20296455223	6.12087573	0.0100335984183751	
52.66	351.309705062694	7.38673669	0.0121086512517282	
52.676	351.416445573157	10.1737712	0.0166772761160485	
