D:\Data\Install\2023-11-16\20231116-085401_La scala day--ESp_Cayman_iXPS-ESp_Cayman--1_1-Detector_Region.vms
Survey
	Characteristic Energy eV	1486.7	Acquisition Time s	0.1	Step Size eV	0.344322	No Steps	4096



KE_Survey	BE_Survey	Background_Survey
198.26	1288.44	1301.9
198.605	1288.1	1391.37
198.949	1287.75	1414.42
199.293	1287.41	1373.57
199.638	1287.06	1379.27
199.982	1286.72	1320.69
200.326	1286.37	1262.69
200.671	1286.03	1280.96
201.015	1285.68	1189.09
201.359	1285.34	1199.03
201.704	1285	1279.56
202.048	1284.65	1340.58
202.392	1284.31	1215.41
202.737	1283.96	1288.68
203.081	1283.62	1362.04
203.425	1283.27	1464.99
203.77	1282.93	1514.6
204.114	1282.59	1519.76
204.458	1282.24	1281.13
204.803	1281.9	1349.25
205.147	1281.55	1565.12
205.491	1281.21	1409.33
205.836	1280.86	1394.66
206.18	1280.52	1482.78
206.524	1280.18	1306.1
206.868	1279.83	1489.78
207.213	1279.49	1452.56
207.557	1279.14	1496.41
207.901	1278.8	1318.77
208.246	1278.45	1371.01
208.59	1278.11	1502.62
208.934	1277.77	1393.97
209.279	1277.42	1383.58
209.623	1277.08	1381.14
209.967	1276.73	1528.48
210.312	1276.39	1479.36
210.656	1276.04	1518.61
211	1275.7	1571.72
211.345	1275.36	1521.23
211.689	1275.01	1422.64
212.033	1274.67	1341.44
212.378	1274.32	1462.29
212.722	1273.98	1367.27
213.066	1273.63	1684.49
213.411	1273.29	1609.54
213.755	1272.95	1490.14
214.099	1272.6	1495.13
214.444	1272.26	1646.89
214.788	1271.91	1661.2
215.132	1271.57	1527.6
215.477	1271.22	1769.75
215.821	1270.88	1485.56
216.165	1270.53	1574.27
216.51	1270.19	1429.12
216.854	1269.85	1617.6
217.198	1269.5	1684.64
217.542	1269.16	1620
217.887	1268.81	1833.8
218.231	1268.47	1694.61
218.575	1268.12	1666.41
218.92	1267.78	1736.47
219.264	1267.44	1682.24
219.608	1267.09	1643.22
219.953	1266.75	1847.84
220.297	1266.4	1699.96
220.641	1266.06	1832.21
220.986	1265.71	1802.36
221.33	1265.37	1787.94
221.674	1265.03	1961.63
222.019	1264.68	1694.72
222.363	1264.34	1727.26
222.707	1263.99	1881.01
223.052	1263.65	1860.2
223.396	1263.3	1864.6
223.74	1262.96	1803.72
224.085	1262.62	1873.85
224.429	1262.27	1851.88
224.773	1261.93	1925.92
225.118	1261.58	1702.35
225.462	1261.24	1960.48
225.806	1260.89	1921.18
226.151	1260.55	1743.11
226.495	1260.21	1669.56
226.839	1259.86	1721.42
227.184	1259.52	1634.72
227.528	1259.17	1751.71
227.872	1258.83	1702.17
228.216	1258.48	1757.69
228.561	1258.14	1746.32
228.905	1257.79	1647.2
229.249	1257.45	1702.52
229.594	1257.11	1738.09
229.938	1256.76	1668.86
230.282	1256.42	1757.92
230.627	1256.07	1844.16
230.971	1255.73	1750.97
231.315	1255.38	1803.51
231.66	1255.04	1805.81
232.004	1254.7	1565.62
232.348	1254.35	1612.33
232.693	1254.01	1563.41
233.037	1253.66	1651.09
233.381	1253.32	1636.14
233.726	1252.97	1667.12
234.07	1252.63	1880.33
234.414	1252.29	1845.25
234.759	1251.94	1663.09
235.103	1251.6	1844.69
235.447	1251.25	1719.25
235.792	1250.91	1621.14
236.136	1250.56	1738.15
236.48	1250.22	1757.86
236.825	1249.88	1711.08
237.169	1249.53	1671
237.513	1249.19	1723.66
237.858	1248.84	1753
238.202	1248.5	1899.38
238.546	1248.15	1848.7
238.89	1247.81	1754.92
239.235	1247.47	1913.31
239.579	1247.12	1910.09
239.923	1246.78	1952.71
240.268	1246.43	1910.09
240.612	1246.09	1881.84
240.956	1245.74	1884.35
241.301	1245.4	1930.48
241.645	1245.05	1964.73
241.989	1244.71	1921.01
242.334	1244.37	1953.8
242.678	1244.02	2048.9
243.022	1243.68	1898.84
243.367	1243.33	2010.11
243.711	1242.99	1894.95
244.055	1242.64	2011.34
244.4	1242.3	2004.18
244.744	1241.96	2075.78
245.088	1241.61	2268.15
245.433	1241.27	2205.59
245.777	1240.92	2033.71
246.121	1240.58	2051.32
246.466	1240.23	2182.3
246.81	1239.89	2323.68
247.154	1239.55	2318.31
247.499	1239.2	2256.26
247.843	1238.86	2312.97
248.187	1238.51	2350.54
248.532	1238.17	1983.47
248.876	1237.82	2528.55
249.22	1237.48	2597.93
249.564	1237.14	2314.54
249.909	1236.79	2797.89
250.253	1236.45	2488.27
250.597	1236.1	2404.39
250.942	1235.76	2595.02
251.286	1235.41	2668.59
251.63	1235.07	2300.04
251.975	1234.73	2413.73
252.319	1234.38	2756.03
252.663	1234.04	2734.96
253.008	1233.69	2598.21
253.352	1233.35	2504.85
253.696	1233	2693.04
254.041	1232.66	2363.41
254.385	1232.32	2469.42
254.729	1231.97	2549.88
255.074	1231.63	2698.84
255.418	1231.28	2858.72
255.762	1230.94	2934.2
256.107	1230.59	2612.95
256.451	1230.25	2785.96
256.795	1229.9	2806.06
257.14	1229.56	2398.4
257.484	1229.22	2728.16
257.828	1228.87	2620.21
258.173	1228.53	2611.78
258.517	1228.18	2521.26
258.861	1227.84	2537.86
259.205	1227.49	2561.57
259.55	1227.15	2557.82
259.894	1226.81	2413.93
260.238	1226.46	2241.45
260.583	1226.12	2400.06
260.927	1225.77	2487.78
261.271	1225.43	2112.03
261.616	1225.08	2324.09
261.96	1224.74	2143.66
262.304	1224.4	2279.1
262.649	1224.05	2120.54
262.993	1223.71	2177.75
